Latitude, longitude
41.741583, -111.813347
41.741782, -111.813805
41.741923, -111.812975
41.742035, -111.813027
41.742253, -111.813018
41.742263, -111.812822
41.742363, -111.812578
41.742572, -111.812367
41.742702, -111.812533
